	Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
Included	In Orth 2011	Substrates	EcoCyc ID	Symbol	Name	Annotation	Function	Synth_Prob	Prob(>=1 transcript/gen)	KEIO LB	KEIO MM 24h	KEIO MM 48h 	Gen footprin LB	PEC database	Mutagen LB	Name	Function	Description	Function	GO-terms
Can add reaction	No	['WATER // DNA-With-Recognition-Site // Cleaved-DNA']	EG10574	mcrB	MrcB subunit of 5-methylcytosine restriction system	characterized	characterized	4.25481261664E-06	0.88	0.813	0.446	0.632	N	N	N	5-methylcytosine-specific restriction enzyme McrBC, subunit McrB	Enzyme; Degradation of DNA	McrBC restriction endonuclease, catalytic subunit; 5-methylcytosine-specific; requires GTP, inhibited by ATP	Restriction-modification system 	N/A
Can add reaction	No	['WATER // DNA-With-Recognition-Site // Cleaved-DNA']	EG10575	mcrC	MrcC subunit of 5-methylcytosine restriction system	characterized	characterized	2.24619926795E-06	0.53	0.81	0.348	0.534	N	N	u	5-methylcytosine-specific restriction enzyme McrBC, subunit McrC	Enzyme; Degradation of DNA	McrBC restriction endonuclease, specificity subunit; 5-methylcytosine-specific; requires GTP, inhibited by ATP	Restriction-modification system 	N/A
Yes	No	['WATER // ATP // Wound-RNA // Unwound-RNA // ADP // Pi // PROTON']	EG10844	rhlB	RhlB	characterized	characterized	0.0001129266	1.00	0.86	0.378	0.488	N	N	u	ATP-dependent RNA helicase	Putative enzyme; Not classified	ATP-dependent RNA helicase; unwinds dsRNA; component of RNA degradosome; also binds PNPase directly; DEAD box family	RNA decay 	N/A
Can add reaction	No	['WATER // 23S-rRNAs // rRNA-fragments', 'WATER // ssRNAs // rRNA-fragments', 'WATER // mRNAs // mRNA-Fragments']	EG10856	rna	RNase I	characterized	characterized	1.8549809122E-05	1.00	0.736	0.364	0.537	N	N	N	ribonuclease I	Enzyme; Degradation of RNA	RNase I, periplasmic; endoribonuclease; RNase A; RNase M; RNase T2	RNA decay 	N/A
Can add reaction	No	['WATER // RNASE-III-MRNA-PROCESSING-SUBSTRATE // RNASE-III-PROCESSING-PRODUCT-MRNA // mRNA-Fragments']	EG10857	rnc	RNase III	characterized	characterized	4.30899322741E-05	1.00	N.A.	N.A.	N.A.	E	N	N	RNase III	Enzyme; Degradation of RNA	RNase III; cleaves double-stranded RNA	RNA decay 	rRNA catabolic process
Can add reaction	No	['WATER // tRNA-precursors // All-tRNAs // Nucleoside-Monophosphates', 'WATER // CPD0-2351 // CPD0-2354 // Ribonucleoside-Monophosphates', 'CPD0-2352 // CPD0-2354 // Ribonucleoside-Monophosphates', 'CPD0-2353 // tRNAs // Nucleoside-Monophosphates']	EG10858	rnd	RNase D	characterized	characterized	6.85318260798E-06	0.88	0.674	0.35	0.425	N	N	N	ribonuclease D	Enzyme; Degradation of RNA	RNase D, processes tRNA precursors	RNA decay 	N/A
Yes	No	['WATER // 9S-RRNA // 5S-rRNAs // rRNA-fragments', 'WATER // CPD0-2351 // CPD0-2350', 'WATER // CPD0-2352 // CPD0-2350', 'WATER // RNASE-E-DEGRADATION-SUBSTRATE-MRNA // mRNA-Fragments', 'WATER // RNASE-E-MRNA-PROCESSING-SUBSTRATE // RNASE-E-PROCESSING-PRODUCT-MRNA // mRNA-Fragments']	EG10859	rne	RNase E	characterized	characterized	4.26835754929E-05	1.00	N.A.	N.A.	N.A.	E	E	u	endoribonuclease; RNA-binding protein;RNA degradosome binding protein	Enzyme; Degradation of RNA	RNase E; component of RNA degradosome; mRNA turnover; 5S and 16S RNA maturation	RNA decay 	rRNA 5'-end processing
Can add reaction	No	['WATER // RNA-DNA-hybrids // DNA-Holder // Nucleoside-Monophosphates']	EG10860	rnhA	RNase HI	characterized	characterized	0.000010491	1.00	0.728	0.214	0.196	E	N	u	ribonuclease HI, degrades RNA of DNA-RNA hybrids	Enzyme; Degradation of RNA	RNase HI; participates in DNA replication	RNA decay 	DNA replication removal of RNA primer
Can add reaction	No	['WATER // RNA-DNA-hybrids // DNA-Holder // Nucleoside-Monophosphates']	EG10861	rnhB	RNAse HII	characterized	characterized	1.34493875396E-05	1.00	0.784	0.374	0.605	E	N	u	ribonuclease HII, degrades RNA of DNA-RNA hybrids	Enzyme; Degradation of RNA	RNase HII; degrades RNA of DNA-RNA hybrids; nicks DNA 5' to misincorporated ribonucleotides	RNA decay 	DNA replication removal of RNA primer
Can add reaction	No	['WATER // CPD0-2351 // CPD0-2352 // Nucleoside-Monophosphates', 'WATER // RNASE-II-DEGRADATION-SUBSTRATE-MRNA // Nucleoside-Monophosphates', 'WATER // RNASE-II-POLY-A-SUBSTRATE-MRNA // RNASE-II-SUBSTRATE-WITH-NO-POLY-A-TAIL // AMP']	EG11620	rnb	ribonuclease II	characterized	characterized	0.0001216618	1.00	0.681	0.167	0.242	N	N	u	ribonuclease II	Enzyme; Degradation of RNA	RNase II; mRNA degradation	RNA decay 	tRNA catabolic process
Can add reaction	No	['WATER // CPD0-2351 // CPD0-2354 // Ribonucleoside-Monophosphates', 'WATER // MUTATED-TRNA // Nucleoside-Monophosphates']	G7175	rbn	Rbn	characterized	characterized	4.15429233358E-06	0.75	0.874	0.349	0.53	N	N	u	RNase BN, tRNA processing enzyme	Null	RNase BN, tRNA processing enzyme; matures phage T4 proline, serine and isoleucine tRNAs; zinc phosphodiesterase activity	RNA decay 	tRNA 3'-trailer cleavage
Can add reaction	No	['WATER // mRNAs // mRNA-Fragments']	G7365	rnlA	CP4-57 prophage; RNase LS	characterized	characterized	1.78565039404E-05	1.00	0.791	0.293	0.354	N	N	u	CP4-57 prophage; RNase LS	Phage or Prophage Related	RNase LS, endoribonuclease, toxin, affects mRNA stability; antitoxin is rnlB; CP4-57 putative defective prophage; target of phage T4 Dmd	RNA decay 	mRNA catabolic process
Can add reaction	No	['WATER // mRNAs-with-5-triphosphate // mRNAs-with-5-monophosphate // PPI // PROTON']	G7459	rppH	RNA pyrophosphohydrolase	characterized	characterized	7.8134198063E-05	1.00	0.615	0.25	0.237	N	N	u	RNA pyrophosphohydrolase	Putative factor; Not classified	RNA pyrophosphohydrolase, destabilizes primary transcripts	RNA decay 	RNA destabilization
Can add reaction	No	['WATER // mRNAs // mRNA-Fragments']	G7572	mqsR	mRNA interferase	characterized	characterized	1.26462663166E-05	0.94	0.739	0.325	0.318	N	N	N	GCU-specific mRNA interferase toxin of the MqsR-MqsA toxin-antitoxin system; biofilm/motility regulator; anti-repressor	Null	GCU-specific mRNA interferase, toxin-antitoxin pair MqsRA; motility, quorum-sensing biofilm regulator; works through QseBC and AI-2; anti-repressor	RNA decay 	N/A
Can add reaction	No	['WATER // Oligonucleotides // Nucleoside-Monophosphates']	G7842	orn	oligoribonuclease monomer	characterized	characterized	0.000018232	1.00	N.A.	N.A.	N.A.	N	u	N	oligoribonuclease	Null	3' to 5' oligoribonuclease; mutants accumulate oligoribonucleotides that are 2-5 residues long	RNA decay 	N/A
Can add reaction	No	['ATP // PPI // mRNAs']	EG10690	pcnB	poly(A) polymerase I	characterized	characterized	4.43856919094E-05	1.00	0.828	0.391	0.495	N	N	u	poly(A) polymerase	Enzyme; RNA synthesis, modification, DNA transcription	Poly(A) polymerase; controls plasmid copy number; rare AUU start codon, growth-rate regulated; monomeric; degradosome component in stationary phase	RNA processing 	mRNA polyadenylation
Yes	No	['Pi // ssRNAs // Nucleoside-Diphosphates', 'WATER // CPD0-2351 // CPD0-2352 // Nucleoside-Monophosphates']	EG10743	pnp	polynucleotide phosphorylase monomer	characterized	characterized	0.0002259233	1.00	0.615	0.196	0.094	E	N	N	polynucleotide phosphorylase/polyadenylase	Enzyme; RNA synthesis, modification, DNA transcription	Polynucleotide phosphorylase; exoribonuclease; PNPase component of RNA degradosome; cold shock protein required for growth at low temperatures	RNA processing 	mRNA catabolic process
Can add reaction	No	['Pre-tRNA-3-prime-half-molecules // Pre-tRNA-5-prime-half-molecules // ligated-tRNAs-with-2prime-5prime-linkage', 'WATER // Cyclic-Phosphate-Terminated-RNAs // 2-Prime-Phosphate-Terminated-RNAs // PROTON']	EG12330	ligT	2-5 RNA ligase	characterized	characterized	5.6857390413E-06	0.91	0.709	0.479	0.506	N	u	N	2'-5' RNA ligase	Enzyme; tRNA modification	2'-5' RNA ligase	RNA processing 	N/A
Can add reaction	No	['3-Prime-Phosphate-Terminated-RNAs // RNA-Ligase-L-histidine-guanylate // RNA-with-3-prime-pp-5-prime-G-cap // RNA-Ligase-L-histidine // PROTON', '5Prime-OH-Terminated-RNAs // RNA-with-3-prime-pp-5-prime-G-cap // RNAs // GMP // PROTON', 'GTP // 5Prime-OH-Terminated-RNAs // 3-Prime-Phosphate-Terminated-RNAs // RNA-Holder // GMP // PPI', 'WATER // GTP // 5Prime-OH-Terminated-RNAs // Cyclic-Phosphate-Terminated-RNAs // RNA-Holder // GMP // PPI // PROTON', 'WATER // Cyclic-Phosphate-Terminated-RNAs // 3-Prime-Phosphate-Terminated-RNAs // PROTON', 'RNA-Ligase-L-histidine // GTP // RNA-Ligase-L-histidine-guanylate // PPI']	G7751	rtcB	RNA ligase	characterized	characterized	0.000000904	0.25	0.806	0.224	0.227	N	N	N	RNA-splicing ligase	Null	RNA-splicing ligase	RNA processing 	RNA repair
Can add catalyst	No	['WATER // ATP // Wound-RNA // Unwound-RNA // ADP // Pi // PROTON']	EG10210	dbpA	ATP-dependent RNA helicase	characterized	characterized	2.48959713196E-06	0.44	0.861	0.278	0.346	N	N	N	ATP-dependent RNA helicase, specific for 23S rRNA	Enzyme; RNA synthesis, modification, DNA transcription	ATP-dependent 3'-5' RNA helicase, specific for 23S rRNA	rRNA maturation 	ribosomal large subunit assembly
Can add reaction	No	['16S-rRNA-guanine-966 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // 16S-rRNA-N2-methylguanine966 // PROTON']	EG10343	rsmD	16S rRNA m<sup>2</sup>G966 methyltransferase	characterized	characterized	8.50811393351E-06	0.94	0.554	0.334	0.411	E	u	u	16S rRNA m(2)G966 methyltransferase, SAM-dependent	Enzyme; rRNA modification	16S rRNA m(2)G966 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['16S-rRNA-guanine-527 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // 16S-rRNA-N7-methylguanine527']	EG10376	rsmG	16S rRNA m<sup>7</sup>G527 methyltransferase	characterized	characterized	9.36641454258E-06	0.94	0.499	0.321	0.427	N	N	N	16S rRNA m(7)G527 methyltransferase, SAM-dependent; glucose-inhibited cell-division protein	Enzyme; rRNA modification; phenotype; DNA - replication, repair, restriction/modification	16S rRNA m(7)G527 methyltransferase, SAM-dependent; mutant has low level streptomycin resistance	rRNA maturation 	rRNA (guanine-N7)-methylation
Can add reaction	No	['S-ADENOSYLMETHIONINE // 16S-rRNA-adenine1518-adenine1519 // 16S-rRNA-N6-dimethyladenine1518-1519 // ADENOSYL-HOMO-CYS // PROTON']	EG10523	rsmA	16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase	characterized	characterized	7.70385057303E-05	1.00	0.764	0.282	0.286	N	N	u	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent	Enzyme; rRNA modification; drug/analog sensitivity	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent; mutant is kasugamycin resistant; multicopy suppressor of era(Cs)	rRNA maturation 	ribosomal small subunit assembly
Can add reaction	No	['WATER // CPD0-2354 // tRNAs // tRNA-fragment', 'WATER // CPD0-2352 // CPD0-2353 // tRNA-fragment']	EG10862	rnpA	RNase P protein component; processes tRNA	characterized	characterized	0.0001493924	1.00	N.A.	N.A.	N.A.	?	E	u	protein C5 component of RNase P	Enzyme; Degradation of RNA	RNase P, C5 protein component; involved in tRNA and 4.5S RNA-processing	rRNA maturation 	tRNA 5'-leader removal
Can add reaction	No	['16S-rRNA-cytidine1402 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // 16S-rRNA-N4-methylcytidine1402 // PROTON']	EG11085	rsmH	16S rRNA m<sup>4</sup>C1402 methyltransferase	characterized	characterized	2.99144825727E-05	1.00	0.909	0.27	0.251	E	u	u	16S rRNA m(4)C1402 methyltransferase, SAM-dependent	Enzyme; rRNA modification	16S rRNA m(4)C1402 methyltransferase, SAM-dependent; membrane-associated. expressed gene in dcw gene cluster; non-essential	rRNA maturation 	N/A
Can add reaction	No	['23S-rRNA-uridine955-2504-2580 // 23S-rRNA-pseudouridine955-2504-2580']	EG11118	rluC	23S rRNA pseudouridine synthase	characterized	characterized	1.30351503108E-05	1.00	0.749	0.263	0.293	N	u	N	23S rRNA pseudouridine(955,2504,2580) synthase	Enzyme; rRNA modification	23S rRNA pseudouridine(955,2504,2580) synthase	rRNA maturation 	enzyme-directed rRNA pseudouridine synthesis
Can add reaction	No	['S-ADENOSYLMETHIONINE // 23S-rRNA-uracil-1939 // 23S-rRNA-5-methyluracil1939 // ADENOSYL-HOMO-CYS // PROTON']	EG11247	rlmD	23S rRNA m<sup>5</sup>U1939 methyltransferase	characterized	characterized	2.90386253496E-06	0.56	0.856	0.393	0.417	N	N	N	23S rRNA m(5)U1939 methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(5)U1939 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['23S-rRNA-pseudouridine1915 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // 23S-rRNA-N3-methylpseudouridine1915 // PROTON']	EG11254	rlmH	23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase	characterized	characterized	2.40331887785E-05	1.00	0.705	0.392	0.408	E	u	N	23S rRNA m(3)Psi1915 pseudouridine methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(3)Psi1915 pseudouridine methyltransferase; SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['WATER // RNASE-R-DEGRADATION-SUBSTRATE-RNA // Nucleoside-Monophosphates // Diribonucleotide']	EG11259	rnr	RNase R	characterized	characterized	2.98733073647E-05	1.00	0.717	0.296	0.402	N	N	N	exoribonuclease R, RNase R	Putative enzyme; Not classified	Exoribonuclease R, RNase R	rRNA maturation 	pathogenesis
Can add reaction	No	['WATER // RNASE-G-DEGRADATION-SUBSTRATE-MRNA // mRNA-Fragments']	EG11299	rng	ribonuclease G (RNAse G) monomer	characterized	characterized	3.3543832194E-05	1.00	0.838	0.263	0.297	N	N	N	ribonuclease G	Structural component; Cell division	Endoribonuclease G involved in 16S rRNA processing; division and growth, overexpression forms minicells and chains with long axial structures	rRNA maturation 	N/A
Can add reaction	No	['S-ADENOSYLMETHIONINE // 23S-rRNA-uridine-2552 // 23S-rRNA-2-O-methyluridine2552 // ADENOSYL-HOMO-CYS // PROTON']	EG11507	rlmE	23S rRNA 2-<i>O</i>-ribose U2552 methyltransferase	characterized	characterized	9.92537795794E-05	1.00	0.52	0.191	0.363	N	E	u	23S rRNA U2552 2'-O-ribose methyltransferase, SAM-dependent	Enzyme; rRNA modification; phenotype; Cell division	23S rRNA U2552 2'-O-ribose methyltransferase, SAM-dependent; involved in cell division and growth; heat inducible; suppressed by cloned ObgE and Der	rRNA maturation 	enzyme-directed rRNA 2'-O-methylation
Can add reaction	No	['S-ADENOSYLMETHIONINE // 23S-rRNA-cytidine-2498 // 23S-rRNA-2-O-methylcytidine2498 // ADENOSYL-HOMO-CYS // PROTON']	EG11794	rlmM	23S rRNA 2-<i>O</i>-ribose C2498 methyltransferase	characterized	characterized	1.57645529487E-05	1.00	0.82	0.381	0.444	N	N	N	23S rRNA C2498 2'-O-ribose methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA C2498 2'-O-ribose methyltransferase, SAM-dependent	rRNA maturation 	enzyme-directed rRNA 2'-O-methylation
Can add reaction	No	['23S-rRNA-uridine2604 // 23S-rRNA-pseudouridine2604', 'tRNA-uridine35 // tRNA-pseudouridine35']	EG11921	rluF	23S rRNA pseudouridine 2604 synthase	characterized	characterized	0.000012768	1.00	0.771	0.207	0.301	N	N	N	23S rRNA pseudouridine(2604) synthase	Enzyme; rRNA modification	23S rRNA pseudouridine(2604) synthase	rRNA maturation 	enzyme-directed rRNA pseudouridine synthesis
Can add reaction	No	['16S-rRNA-uridine516 // 16S-rRNA-pseudouridine516']	EG12044	rsuA	16S rRNA pseudouridine 516 synthase	characterized	characterized	2.2658706856E-05	1.00	0.798	0.228	0.228	N	u	N	16S rRNA pseudouridine(516) synthase	Enzyme; rRNA modification	16S rRNA pseudouridine(516) synthase	rRNA maturation 	enzyme-directed rRNA pseudouridine synthesis
Can add reaction	No	['23S-rRNA-uridine1911-1915-1917 // 23S-rRNA-pseudouridine1911-1915-1917']	EG12098	rluD	23S rRNA pseudouridine synthase	characterized	characterized	2.5433152603E-05	1.00	0.346	0.151	0.114	E	N	u	23S rRNA pseudouridine(1911,1915,1917) synthase	Enzyme; rRNA modification	23S rRNA pseudouridine(1911,1915,1917) synthase; mutation suppresses ftsH(Ts) mutants; null mutants grow very poorly in K-12 only	rRNA maturation 	ribosomal large subunit assembly
Can add reaction	No	['S-ADENOSYLMETHIONINE // 16S-rRNA-cytosine967 // 16S-rRNA-5-O-methylcytosine967 // ADENOSYL-HOMO-CYS // PROTON']	EG12163	rsmB	16S rRNA m<sup>5</sup>C967 methyltransferase	characterized	characterized	3.54493866556E-05	1.00	0.706	0.279	0.207	N	N	u	16S rRNA m(5)C967 methyltransferase, SAM-dependent	Enzyme; rRNA modification	16S rRNA m(5)C967 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['S-ADENOSYLMETHIONINE // 23S-rRNA-guanine-745 // 23S-rRNA-N1-methylguanine745 // ADENOSYL-HOMO-CYS // PROTON']	EG12207	rlmA	23S rRNA m<sup>1</sup>G745 methyltransferase	characterized	characterized	9.50069434759E-06	0.94	0.809	0.406	0.476	X	N	u	23S rRNA m(1)G745 methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(1)G745 methyltransferase, SAM-dependent; mutant has slow growth rate, slow chain elongation rate, and viomycin resistance	rRNA maturation 	N/A
Can add reaction	No	['S-ADENOSYLMETHIONINE // 16S-rRNA-guanine1516 // 16S-rRNA-N2methylguanine1516 // ADENOSYL-HOMO-CYS // PROTON']	EG12233	rsmJ	16S rRNA m<sup>2</sup>G1516 methyltransferase	characterized	characterized	4.59882023054E-06	0.78	0.837	0.309	0.353	N	N	u	16S rRNA m(2)G1516 methyltransferase, SAM-dependent	Enzyme; rRNA modification	16S rRNA m(2)G1516 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['16S-rRNA-uracil1498 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // 16S-rRNA-N3-methyluracil1498 // PROTON']	EG12366	rsmE	16S rRNA m<sup>3</sup>U1498 methyltransferase monomer	characterized	characterized	9.65581759626E-06	0.91	0.819	0.203	0.094	N	u	N	16S rRNA m(3)U1498 methyltransferase, SAM-dependent	Enzyme; rRNA modification	16S rRNA m(3)U1498 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['Reduced-2Fe-2S-Ferredoxins // 23S-rRNA-adenine-2503 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // MET // CH33ADO // 23S-rRNA-2-methyladenine2503 // Oxidized-2Fe-2S-Ferredoxins', 'Reduced-2Fe-2S-Ferredoxins // tRNA-adenine-37 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // MET // CH33ADO // tRNA-2methyladenine-37 // Oxidized-2Fe-2S-Ferredoxins']	EG12401	rlmN	23S rRNA m<sup>2</sup>A2503 methyltransferase and tRNA m<sup>2</sup>A37 methyltransferase	characterized	characterized	2.09420535682E-05	1.00	0.677	0.256	0.282	N	u	N	dual specificity 23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent; dual specificity	rRNA maturation 	N/A
Can add reaction	No	['23S-rRNA-uridine2605 // 23S-rRNA-pseudouridine2605']	EG12433	rluB	23S rRNA pseudouridine 2605 synthase	characterized	characterized	1.71676971152E-05	1.00	0.718	0.274	0.213	E	N	u	23S rRNA pseudouridine(2605) synthase	Enzyme; rRNA modification	23S rRNA pseudouridine(2605) synthase	rRNA maturation 	enzyme-directed rRNA pseudouridine synthesis
Can add reaction	No	['S-ADENOSYLMETHIONINE // 23S-rRNA-adenine-1618 // 23S-rRNA-N6-m-adenine1618 // ADENOSYL-HOMO-CYS // PROTON']	G6416	rlmF	23S rRNA m<sup>6</sup>A1618 methyltransferase	characterized	characterized	6.51216720578E-06	0.88	0.781	0.353	0.371	N	N	u	23S rRNA m(6)A1618 methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(6)A1618 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['Donor-H2 // Sulfurated-Sulfur-Acceptors // S-ADENOSYLMETHIONINE // Ribosomal-protein-S12-Asp89 // Ribosomal-protein-S12-3-methylthio-Asp89 // ADENOSYL-HOMO-CYS // Unsulfurated-Sulfur-Acceptors // MET // CH33ADO // Acceptor // PROTON']	G6435	rimO	ribosomal protein S12 D88 methylthiotransferase	characterized	characterized	8.83741209095E-06	0.94	0.415	0.317	0.362	E	N	u	ribosomal protein S12 methylthiotransferase	Null	Ribosomal protein S12 methylthiotransferase	rRNA maturation 	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
Can add reaction	No	['S-ADENOSYLMETHIONINE // 23S-rRNA-uracil-747 // 23S-rRNA-5-methyluracil747 // ADENOSYL-HOMO-CYS // PROTON']	G6449	rlmC	23S rRNA m<sup>5</sup>U747 methyltransferase	characterized	characterized	0.000004888	0.88	0.639	0.272	0.259	N	N	N	23S rRNA m(5)U747 methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(5)U747 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['S-ADENOSYLMETHIONINE // 23S-rRNA-guanine-2069 // 23S-rRNA-N7-methylguanine-2069 // ADENOSYL-HOMO-CYS', '23S-rRNA-guanine-2445 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // 23S-RRNA-N2-METHYLGUANINE2445 // PROTON']	G6488	rlmL	fused 23S rRNA m<sup>2</sup>G2445 methyltransferase and 23S rRNA m<sup>7</sup>G2069 methyltransferase	characterized	characterized	1.21891244563E-05	0.97	0.696	0.259	0.242	N	N	u	23S rRNA m(2)G2445 and m(7)G2069 methyltransferases, SAM-dependent	Enzyme; rRNA modification	Fused 23S rRNA m(2)G2445 and m(7)G2069 methyltransferase; SAM-dependent	rRNA maturation 	rRNA (guanine-N7)-methylation
Can add reaction	No	['S-ADENOSYLMETHIONINE // 23S-rRNA-cytosine-1962 // 23S-rRNA-5-methylcytosine1962 // ADENOSYL-HOMO-CYS // PROTON']	G6501	rlmI	23S rRNA m<sup>5</sup>C1962 methyltransferase monomer	characterized	characterized	1.05247814387E-05	1.00	0.698	0.218	0.421	N	u	N	23S rRNA m(5)C1962 methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(5)C1962 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['23S-rRNA-uridine2457 // 23S-rRNA-pseudouridine2457']	G6581	rluE	23S rRNA pseudouridine 2457 synthase	characterized	characterized	8.99159106678E-06	0.97	0.806	0.244	0.125	N	u	N	23S rRNA pseudouridine(2457) synthase	Enzyme; rRNA modification	23S rRNA pseudouridine(2457) synthase	rRNA maturation 	enzyme-directed rRNA pseudouridine synthesis
Can add reaction	No	['16S-rRNA-cytosine1407 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // 16S-rRNA-5-O-methylcytosine1407 // PROTON']	G7008	rsmF	16S rRNA m<sup>5</sup>C1407 methyltransferase	characterized	characterized	3.82836905797E-06	0.72	0.681	0.314	0.298	N	N	u	16S rRNA m(5)C1407 methyltransferase, SAM-dependent	Enzyme; rRNA modification	16S rRNA m(5)C1407 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['23S-rRNA-guanine-1835 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // 23S-rRNA-N2-methylguanine1835 // PROTON']	G7603	rlmG	23S rRNA m<sup>2</sup>G1835 methyltransferase	characterized	characterized	2.74777585194E-06	0.53	0.759	0.448	0.524	N	N	N	23S rRNA m(2)G1835 methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(2)G1835 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Yes	No		G7641	rsmI	16S rRNA 2-<i>O</i>-ribose C1402 methyltransferase	characterized	characterized	8.2592752688E-06	1.00	N.A.	N.A.	N.A.	N	u	N	16S rRNA C1402 2'-O-ribose methyltransferase, SAM-dependent	Enzyme; rRNA modification	16S rRNA C1402 2'-O-ribose methyltransferase, SAM-dependent	rRNA maturation 	enzyme-directed rRNA 2'-O-methylation
Can add reaction	No	['S-ADENOSYLMETHIONINE // 23S-rRNA-guanine-2551 // 23S-rRNA-2-O-methylguanosine2251 // ADENOSYL-HOMO-CYS // PROTON']	G7845	rlmB	23S rRNA 2-<i>O</i>-ribose G2251 methyltransferase monomer	characterized	characterized	1.86933902155E-05	0.97	0.694	0.315	0.407	N	u	u	23S rRNA mG2251 2'-O-ribose methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA mG2251 2'-O-ribose methyltransferase, SAM-dependent	rRNA maturation 	enzyme-directed rRNA 2'-O-methylation
Can add reaction	No	['16S-rRNA-guanine-1207 // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // 16S-rRNA-N2-methylguanine1207 // PROTON']	G7950	rsmC	16S rRNA m<sup>2</sup>G1207 methyltransferase	characterized	characterized	1.7538721943E-05	1.00	0.788	0.355	0.404	N	N	N	16S rRNA m(2)G1207 methyltransferase, SAM-dependent	Enzyme; rRNA modification	16S rRNA m(2)G1207 methyltransferase, SAM-dependent	rRNA maturation 	N/A
Can add reaction	No	['Red-Thioredoxin // Alkyl-Hydro-Peroxides // Alcohols // Ox-Thioredoxin // WATER']	EG10680	osmC	osmotically inducible peroxidase OsmC	characterized	characterized	4.15368404399E-05	1.00	0.748	0.336	0.41	N	N	N	lipoyl-dependent Cys-based peroxidase, hydroperoxide resistance; salt-shock inducible membrane protein; peroxiredoxin	Phenotype; Osmotic adaptation	Lipoyl-dependent Cys-based peroxidase, hydroperoxide resistance; stress-induced peroxiredoxin; salt-shock inducible membrane protein; required for long-term survival in stationary phase	Stress response 	N/A
Can add reaction	No	['F-']	EG12209	crcB	F<sup>-</sup> efflux transporter / involved in resistance to camphor-induced chromosome decondensation	characterized	characterized	1.4636270002E-05	1.00	0.781	0.326	0.387	E	u	u	fluoride efflux channel, dual topology membrane protein	Null	Fluoride efflux channel, dual topology membrane protein; Fluc protein	Stress response 	N/A
Yes	No	['PROTON // NADH // Quinones // NAD // Semiquinones', 'NADH // CPD0-1147 // PROTON // ANTHRANILATE // CPD0-1148 // NAD']	G6731	azoR	NADH quinone oxidoreductase	characterized	characterized	7.71040467918E-06	0.97	0.634	0.268	0.293	E	N	u	NADH-azoreductase, FMN-dependent	Enzyme; Fatty acid and phosphatidic acid biosynthesis	NADH-azoreductase, FMN-dependent	Stress response 	N/A
