  Reactions   	  Enzymes of a reaction  	  Object ID  	  Object ID  	  Reaction-Direction  	  Substrates  	  Left  	  Right  
IclR + glyoxylate ↔ IclR-glyox			RXN0-5239	REVERSIBLE	"glyoxylate
IclR transcriptional repressor
IclR-glyox"	"IclR transcriptional repressor
glyoxylate"	IclR-glyox
IclR + pyruvate ↔ IclR transcriptional repressor			RXN0-5238	REVERSIBLE	"pyruvate
IclR transcriptional repressor
IclR-pyruvate DNA-binding transcriptional repressor"	"IclR transcriptional repressor
pyruvate"	IclR-pyruvate DNA-binding transcriptional repressor
IdnR + 5-dehydro-D-gluconate ↔ transcriptional regulator IdnR			RXN0-2701	REVERSIBLE	"5-dehydro-D-gluconate
transcriptional regulator IdnR
IdnR-5-ketogluconate DNA-binding transcriptional dual regulator"	"transcriptional regulator IdnR
5-dehydro-D-gluconate"	IdnR-5-ketogluconate DNA-binding transcriptional dual regulator
IlvY + (S)-2-acetolactate ↔ DNA-binding transcriptional dual regulator IlvY			RXN0-5392	REVERSIBLE	"(S)-2-acetolactate
DNA-binding transcriptional dual regulator IlvY
IlvY-2-acetolactate DNA-binding transcriptional dual regulator"	"DNA-binding transcriptional dual regulator IlvY
(S)-2-acetolactate"	IlvY-2-acetolactate DNA-binding transcriptional dual regulator
imidazole acetol-phosphate + L-glutamate → L-histidinol-phosphate + 2-oxoglutarate	histidinol-phosphate aminotransferase	HISTPHOSTRANS-CPLX	HISTAMINOTRANS-RXN	LEFT-TO-RIGHT	"L-glutamate
imidazole acetol-phosphate
L-histidinol-phosphate
2-oxoglutarate"	"imidazole acetol-phosphate
L-glutamate"	"L-histidinol-phosphate
2-oxoglutarate"
IMP + H2O → inosine + phosphate	"alkaline phosphatase
purine nucleotidase
UMP phosphatase
acid phosphatase / phosphotransferase"	"ALKAPHOSPHA-CPLX
G7742-MONOMER
EG10634-MONOMER
APHA-CPLX"	RXN-7607	LEFT-TO-RIGHT	"H2O
IMP
inosine
phosphate"	"IMP
H2O"	"inosine
phosphate"
IMP + H2O ↔ 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide	bifunctional AICAR transformylase/IMP cyclohydrolase	AICARTRANSIMPCYCLO-CPLX	IMPCYCLOHYDROLASE-RXN	REVERSIBLE	"H2O
IMP
5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide"	"IMP
H2O"	5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide
IMP + NAD++ H2O ↔ XMP + NADH + H+	IMP dehydrogenase	IMP-DEHYDROG-CPLX	IMP-DEHYDROG-RXN	REVERSIBLE	"IMP
NAD+
H2O
H+
NADH
XMP"	"H2O
NAD+
IMP"	"H+
NADH
XMP"
IMP[cytosol]→ IMP[periplasm]			TRANS-RXN0-566	PHYSIOL-LEFT-TO-RIGHT	IMP	IMP	IMP
indole + L-serine → L-tryptophan + H2O	"tryptophan synthase, β subunit dimer
tryptophan synthase"	"CPLX0-2401
TRYPSYN"	RXN0-2382	LEFT-TO-RIGHT	"L-serine
indole
L-tryptophan
H2O"	"indole
L-serine"	"L-tryptophan
H2O"
indole[cytosol]↔ indole[periplasm]			TRANS-RXN0-563	REVERSIBLE	indole	indole	indole
indole[periplasm]+ H+[periplasm]→ indole[cytosol]+ H+[cytosol]	tryptohan/indole:H+ symporter Mtr	MTR-MONOMER	TRANS-RXN-142	LEFT-TO-RIGHT	"H+
indole"	"H+
indole"	"H+
indole"
initiator tRNAmet+ L-methionine + ATP → an L-methionyl-[initiator tRNAmet] + AMP + diphosphate	methionine—tRNA ligase	METG-CPLX	RXN-16165	LEFT-TO-RIGHT	"ATP
L-methionine
initiator tRNAmet
an L-methionyl-[initiator tRNAmet]
diphosphate
AMP"	"initiator tRNAmet
L-methionine
ATP"	"an L-methionyl-[initiator tRNAmet]
diphosphate
AMP"
inosine + ATP → IMP + ADP + H+	inosine/guanosine kinase	CPLX0-322	INOSINEKIN-RXN	LEFT-TO-RIGHT	"ATP
inosine
H+
IMP
ADP"	"inosine
ATP"	"H+
IMP
ADP"
inosine + H2O → D-ribofuranose + hypoxanthine	ribonucleoside hydrolase 3	EG11082-MONOMER	INOSINE-NUCLEOSIDASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
inosine
D-ribofuranose
hypoxanthine"	"inosine
H2O"	"D-ribofuranose
hypoxanthine"
inosine + phosphate ↔ α-D-ribose-1-phosphate + hypoxanthine	"nucleoside phosphorylase
xanthosine phosphorylase
purine nucleoside phosphorylase"	"EG12159-MONOMER
XANTHOSINEPHOSPHORY-CPLX
DEOD-CPLX"	INOPHOSPHOR-RXN	REVERSIBLE	"phosphate
inosine
α-D-ribose-1-phosphate
hypoxanthine"	"inosine
phosphate"	"α-D-ribose-1-phosphate
hypoxanthine"
inosine[cytosol]+ H+[periplasm]→ inosine[periplasm]+ H+[cytosol]	purine ribonucleoside exporter	YICM-MONOMER	RXN0-18	LEFT-TO-RIGHT	"inosine
H+"	"inosine
H+"	"inosine
H+"
inosine[periplasm]+ H+[periplasm]→ inosine[cytosol]+ H+[cytosol]	"nucleoside:H+symporter NupC
nucleoside:H+symporter NupG"	"NUPC-MONOMER
NUPG-MONOMER"	TRANS-RXN-108G	LEFT-TO-RIGHT	"H+
inosine"	"H+
inosine"	"H+
inosine"
isethionate + FMNH2+ oxygen → glycolaldehyde + sulfite + FMN + H2O + 2 H+	FMNH2-dependent alkanesulfonate monooxygenase	CPLX0-225	RXN-13418	PHYSIOL-LEFT-TO-RIGHT	"oxygen
FMNH2
isethionate
glycolaldehyde
sulfite
H2O
FMN
H+"	"isethionate
FMNH2
oxygen"	"glycolaldehyde
sulfite
H2O
FMN
H+"
isobutanal + NADPH + H+→ isobutanol + NADP+	"NADP+-dependent aldehyde reductase
NADP+-dependent aldehyde reductase
methylglyoxal reductase DkgA
aldehyde reductase, NADPH-dependent"	"EG11292-MONOMER
G6269-MONOMER
MONOMER0-148
G6190-MONOMER"	RXN0-7119	PHYSIOL-RIGHT-TO-LEFT	"NADP+
isobutanol
isobutanal
NADPH
H+"	"isobutanol
NADP+"	"isobutanal
NADPH
H+"
isochorismate + 2-oxoglutarate + H+→ 2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate + CO2	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	CPLX0-7525	2.5.1.64-RXN	LEFT-TO-RIGHT	"2-oxoglutarate
isochorismate
H+
2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate
CO2"	"H+
isochorismate
2-oxoglutarate"	"2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate
CO2"
isochorismate + H2O → pyruvate + (2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate	holo-EntB dimer	ENTB-CPLX	ISOCHORMAT-RXN	LEFT-TO-RIGHT	"isochorismate
H2O
pyruvate
(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate"	"H2O
isochorismate"	"pyruvate
(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate"
isoguanine + H++ H2O → xanthine + ammonium	cytosine/isoguanine deaminase	CPLX0-7932	RXN0-6708	LEFT-TO-RIGHT	"H2O
isoguanine
H+
xanthine
ammonium"	"H+
isoguanine
H2O"	"xanthine
ammonium"
isopentenyl diphosphate ↔ dimethylallyl diphosphate	isopentenyl-diphosphate Δ-isomerase	IPPISOM-MONOMER	IPPISOM-RXN	REVERSIBLE	"isopentenyl diphosphate
dimethylallyl diphosphate"	isopentenyl diphosphate	dimethylallyl diphosphate
isoprimeverose + H2O → D-glucopyranose + α-D-xylopyranose	α-D-xyloside xylohydrolase	CPLX0-3901	RXN-12402	PHYSIOL-LEFT-TO-RIGHT	"H2O
isoprimeverose
D-glucopyranose
α-D-xylopyranose"	"isoprimeverose
H2O"	"D-glucopyranose
α-D-xylopyranose"
isovaleryl-CoA + an oxidized electron-transfer flavoprotein + H+→ 3-methylcrotonyl-CoA + a reduced electron-transfer flavoprotein	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	CPLX0-7691	RXN0-2301	PHYSIOL-LEFT-TO-RIGHT	"H+
an oxidized electron-transfer flavoprotein
isovaleryl-CoA
3-methylcrotonyl-CoA
a reduced electron-transfer flavoprotein"	"isovaleryl-CoA
an oxidized electron-transfer flavoprotein
H+"	"3-methylcrotonyl-CoA
a reduced electron-transfer flavoprotein"
ITP + H2O → IDP + phosphate + H+	XTPase / ITPase	CPLX0-3948	RXN0-5073	LEFT-TO-RIGHT	"H2O
ITP
H+
IDP
phosphate"	"ITP
H2O"	"H+
IDP
phosphate"
ITP + H2O → IMP + diphosphate + H+	"dITP/XTP pyrophosphatase
nucleoside triphosphate pyrophosphohydrolase"	"CPLX0-7826
CPLX0-7692"	RXN0-6382	LEFT-TO-RIGHT	"H2O
ITP
H+
IMP
diphosphate"	"ITP
H2O"	"H+
IMP
diphosphate"
K+[cytosol]+ H+[periplasm]→ K+[periplasm]+ H+[cytosol]	"multidrug efflux pump / bile salt:H+antiporter / Na+:H+antiporter / K+:H+antiporter
multidrug efflux pump MdfA (multifunctional)
Na+/K+:H+antiporter ChaA
K+: H+antiporter KefC
K+: H+antiporter KefB"	"YJIO-MONOMER
CMR-MONOMER
CHAA-MONOMER
CPLX0-7819
KEFB-MONOMER"	TRANS-RXN-42	LEFT-TO-RIGHT	"H+
K+"	"H+
K+"	"H+
K+"
K+[periplasm]→ K+[cytosol]	"K+channel Kch
K+transporter Kup"	"CPLX0-7674
KUP-MONOMER"	TRANS-RXN-143	LEFT-TO-RIGHT	K+	K+	K+
K+[periplasm]+ ATP + H2O → K+[cytosol]+ ADP + phosphate + H+	K+transporting P-type ATPase	ATPASE-1-CPLX	TRANS-RXN-2	PHYSIOL-LEFT-TO-RIGHT	"ATP
H2O
K+
phosphate
ADP
H+"	"K+
H2O
ATP"	"K+
phosphate
ADP
H+"
K+[periplasm]+ H+[periplasm]→ K+[cytosol]+ H+[cytosol]	"K+transporter TrkH
K+transporter TrkG"	"TRKH-MONOMER
TRKG-MONOMER"	TRANS-RXN-3	LEFT-TO-RIGHT	"H+
K+"	"H+
K+"	"H+
K+"
keto-D-fructose → β-D-fructofuranose			RXN-14515	LEFT-TO-RIGHT	"keto-D-fructose
β-D-fructofuranose"	keto-D-fructose	β-D-fructofuranose
keto-D-fructose 6-phosphate ↔ β-D-fructofuranose 6-phosphate			RXN-14812	REVERSIBLE	"keto-D-fructose 6-phosphate
β-D-fructofuranose 6-phosphate"	keto-D-fructose 6-phosphate	β-D-fructofuranose 6-phosphate
keto-L-rhamnulose → L-rhamnulofuranose			RXN-15356	LEFT-TO-RIGHT	"keto-L-rhamnulose
L-rhamnulofuranose"	keto-L-rhamnulose	L-rhamnulofuranose
keto-L-sorbose ↔ L-sorbopyranose			RXN-14811	REVERSIBLE	"keto-L-sorbose
L-sorbopyranose"	keto-L-sorbose	L-sorbopyranose
L,L-diaminopimelate ↔ meso-diaminopimelate	diaminopimelate epimerase	CPLX0-7997	DIAMINOPIMEPIM-RXN	REVERSIBLE	"L,L-diaminopimelate
meso-diaminopimelate"	L,L-diaminopimelate	meso-diaminopimelate
L-2-amino-3-oxobutanoate + coenzyme A → glycine + acetyl-CoA	2-amino-3-ketobutyrate CoA ligase	AKBLIG-CPLX	AKBLIG-RXN	PHYSIOL-RIGHT-TO-LEFT	"acetyl-CoA
glycine
L-2-amino-3-oxobutanoate
coenzyme A"	"glycine
acetyl-CoA"	"L-2-amino-3-oxobutanoate
coenzyme A"
L-2-amino-3-oxobutanoate + H+→ aminoacetone + CO2			THREOSPON-RXN	PHYSIOL-LEFT-TO-RIGHT	"H+
L-2-amino-3-oxobutanoate
aminoacetone
CO2"	"L-2-amino-3-oxobutanoate
H+"	"aminoacetone
CO2"
L-alanine ↔ D-alanine	"alanine racemase 2
alanine racemase 1, PLP-binding, biosynthetic"	"CPLX0-7465
CPLX0-8202"	ALARACECAT-RXN	REVERSIBLE	"L-alanine
D-alanine"	L-alanine	D-alanine
L-alanine + pimeloyl-CoA + H+→ CO2+ 8-amino-7-oxononanoate + coenzyme A	8-amino-7-oxononanoate synthase	7KAPSYN-CPLX	7KAPSYN-RXN	PHYSIOL-LEFT-TO-RIGHT	"pimeloyl-CoA
L-alanine
H+
CO2
coenzyme A
8-amino-7-oxononanoate"	"H+
L-alanine
pimeloyl-CoA"	"CO2
coenzyme A
8-amino-7-oxononanoate"
L-alanine + UDP-N-acetyl-α-D-muramate + ATP → UDP-N-acetyl-α-D-muramoyl-L-alanine + ADP + phosphate + H+	UDP-N-acetylmuramate—L-alanine ligase	CPLX0-8014	UDP-NACMUR-ALA-LIG-RXN	PHYSIOL-LEFT-TO-RIGHT	"ATP
UDP-N-acetyl-α-D-muramate
L-alanine
H+
UDP-N-acetyl-α-D-muramoyl-L-alanine
phosphate
ADP"	"L-alanine
UDP-N-acetyl-α-D-muramate
ATP"	"H+
UDP-N-acetyl-α-D-muramoyl-L-alanine
phosphate
ADP"
L-alanine[cytosol]+ H+[periplasm]→ L-alanine[periplasm]+ H+[cytosol]	L-alanine exporter	G7399-MONOMER	TRANS-RXN0-469	LEFT-TO-RIGHT	"L-alanine
H+"	"L-alanine
H+"	"L-alanine
H+"
L-alanine[periplasm]+ H+[periplasm]→ L-alanine[cytosol]+ H+[cytosol]	serine/alanine/glycine/cycloserine:H+symporter	CYCA-MONOMER	RXN0-5202	LEFT-TO-RIGHT	"H+
L-alanine"	"H+
L-alanine"	"H+
L-alanine"
L-alanyl-D-glutamate ↔ L-alanyl-L-glutamate	L-Ala-D/L-Glu epimerase	G6661-MONOMER	RXN0-5228	REVERSIBLE	"L-alanyl-D-glutamate
L-alanyl-L-glutamate"	L-alanyl-D-glutamate	L-alanyl-L-glutamate
L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + H2O → L-alanyl-γ-D-glutamyl-meso-diaminopimelate + D-alanine	"murein DD-endopeptidase/LD-carboxypeptidase
L,D-carboxypeptidase A"	"G7147-MONOMER
G6621-MONOMER"	RXN0-5227	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine
L-alanyl-γ-D-glutamyl-meso-diaminopimelate
D-alanine"	"L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine
H2O"	"L-alanyl-γ-D-glutamyl-meso-diaminopimelate
D-alanine"
L-alanyl-γ-D-glutamyl-meso-diaminopimelate + H2O → L-alanyl-D-glutamate + meso-diaminopimelate	murein tripeptide amidase A	CPLX0-7989	RXN0-961	LEFT-TO-RIGHT	"H2O
L-alanyl-γ-D-glutamyl-meso-diaminopimelate
L-alanyl-D-glutamate
meso-diaminopimelate"	"L-alanyl-γ-D-glutamyl-meso-diaminopimelate
H2O"	"L-alanyl-D-glutamate
meso-diaminopimelate"
L-alanyl-glycine + H2O → L-alanine + glycine			RXN0-6977	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-alanyl-glycine
L-alanine
glycine"	"L-alanyl-glycine
H2O"	"L-alanine
glycine"
L-alanyl-L-aspartate + H2O → L-alanine + L-aspartate			RXN0-6975	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-alanyl-L-aspartate
L-alanine
L-aspartate"	"L-alanyl-L-aspartate
H2O"	"L-alanine
L-aspartate"
L-alanyl-L-glutamate + H2O → L-alanine + L-glutamate	peptidase D	CPLX0-3001	RXN0-6981	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-alanyl-L-glutamate
L-alanine
L-glutamate"	"L-alanyl-L-glutamate
H2O"	"L-alanine
L-glutamate"
L-alanyl-L-glutamine + H2O → L-alanine + L-glutamine			RXN0-6976	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-alanyl-L-glutamine
L-alanine
L-glutamine"	"L-alanyl-L-glutamine
H2O"	"L-alanine
L-glutamine"
L-alanyl-L-histidine + H2O → L-alanine + L-histidine			RXN0-6978	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-alanyl-L-histidine
L-alanine
L-histidine"	"L-alanyl-L-histidine
H2O"	"L-alanine
L-histidine"
L-alanyl-L-leucine + H2O → L-alanine + L-leucine			RXN0-6979	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-alanyl-L-leucine
L-alanine
L-leucine"	"L-alanyl-L-leucine
H2O"	"L-alanine
L-leucine"
L-alanyl-L-threonine + H2O → L-alanine + L-threonine			RXN0-6980	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-alanyl-L-threonine
L-alanine
L-threonine"	"L-alanyl-L-threonine
H2O"	"L-alanine
L-threonine"
L-allo-threonine → glycine + acetaldehyde	"low-specificity L-threonine aldolase
serine hydroxymethyltransferase"	"LTAA-CPLX
GLYOHMETRANS-CPLX"	LTAA-RXN	PHYSIOL-LEFT-TO-RIGHT	"L-allo-threonine
glycine
acetaldehyde"	L-allo-threonine	"glycine
acetaldehyde"
L-allo-threonine + NADP+→ aminoacetone + CO2+ NADPH	3-hydroxy acid dehydrogenase	CPLX0-1962	RXN-16001	PHYSIOL-LEFT-TO-RIGHT	"NADP+
L-allo-threonine
aminoacetone
CO2
NADPH"	"L-allo-threonine
NADP+"	"aminoacetone
CO2
NADPH"
L-allo-threonine + NADP+→ L-2-amino-3-oxobutanoate + NADPH + H+	3-hydroxy acid dehydrogenase	CPLX0-1962	RXN-16000	PHYSIOL-LEFT-TO-RIGHT	"NADP+
L-allo-threonine
L-2-amino-3-oxobutanoate
NADPH
H+"	"L-allo-threonine
NADP+"	"L-2-amino-3-oxobutanoate
NADPH
H+"
L-arabinofuranose ↔ L-arabinopyranose			RXN-14809	REVERSIBLE	"L-arabinofuranose
L-arabinopyranose"	L-arabinofuranose	L-arabinopyranose
L-arabinopyranose ↔ L-ribulose	L-arabinose isomerase	ARABISOM-CPLX	ARABISOM-RXN	REVERSIBLE	"L-arabinopyranose
L-ribulose"	L-arabinopyranose	L-ribulose
L-arabinose[cytosol]+ H+[periplasm]→ L-arabinose[periplasm]+ H+[cytosol]	arabinose exporter	YDEA-MONOMER	TRANS-RXN-40	LEFT-TO-RIGHT	"H+
L-arabinose"	"L-arabinose
H+"	"H+
L-arabinose"
L-arabinose[periplasm]+ H+[periplasm]→ L-arabinose[cytosol]+ H+[cytosol]	arabinose:H+symporter	ARAE-MONOMER	TRANS-RXN-10	LEFT-TO-RIGHT	"H+
L-arabinose"	"H+
L-arabinose"	"H+
L-arabinose"
L-arginine + H+→ CO2+ agmatine	"arginine decarboxylase, degradative
arginine decarboxylase, biosynthetic"	"ARGDECARBOXDEG-CPLX
ARGDECARBOXBIO-CPLX"	ARGDECARBOX-RXN	LEFT-TO-RIGHT	"L-arginine
H+
CO2
agmatine"	"H+
L-arginine"	"CO2
agmatine"
L-arginine + succinyl-CoA → N2-succinyl-L-arginine + coenzyme A + H+	arginine N-succinyltransferase	ARGSUCCTRAN-MONOMER	ARGININE-N-SUCCINYLTRANSFERASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"succinyl-CoA
L-arginine
H+
N2-succinyl-L-arginine
coenzyme A"	"L-arginine
succinyl-CoA"	"H+
N2-succinyl-L-arginine
coenzyme A"
L-arginine[periplasm]→ L-arginine[cytosol]	L-arginine exporter	YGGA-MONOMER	RXN66-448	RIGHT-TO-LEFT	L-arginine	L-arginine	L-arginine
L-arginino-succinate ↔ L-arginine + fumarate	argininosuccinate lyase	ARGSUCCINLYA-MONOMER	ARGSUCCINLYA-RXN	REVERSIBLE	"L-arginino-succinate
L-arginine
fumarate"	L-arginino-succinate	"L-arginine
fumarate"
L-ascorbate + 2 an oxidized c-type cytochrome → L-dehydro-ascorbate + 2 a reduced c-type cytochrome + H+			RXN-12876	LEFT-TO-RIGHT	"an oxidized c-type cytochrome
L-ascorbate
L-dehydro-ascorbate
a reduced c-type cytochrome
H+"	"L-ascorbate
an oxidized c-type cytochrome"	"L-dehydro-ascorbate
a reduced c-type cytochrome
H+"
L-ascorbate 6-phosphate + H2O → 3-keto-L-gulonate 6-phosphate	L-ascorbate-6-phosphate lactonase	CPLX0-7848	RXN0-5214	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-ascorbate 6-phosphate
3-keto-L-gulonate 6-phosphate"	"L-ascorbate 6-phosphate
H2O"	3-keto-L-gulonate 6-phosphate
L-asparagine + H2O → L-aspartate + ammonium	"isoaspartyl dipeptidase / asparaginase III
L-asparaginase 1
asparaginase II"	"CPLX0-263
ANSA-CPLX
ANSB-CPLX"	ASPARAGHYD-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-asparagine
L-aspartate
ammonium"	"L-asparagine
H2O"	"L-aspartate
ammonium"
L-asparagine[periplasm]+ H+[periplasm]→ L-asparagine[cytosol]+ H+[cytosol]	L-asparagine transporter	ANSP-MONOMER	TRANS-RXN-262	LEFT-TO-RIGHT	"H+
L-asparagine"	"H+
L-asparagine"	"H+
L-asparagine"
L-aspartate → ammonium + fumarate	aspartate ammonia-lyase	ASPARTASE-CPLX	ASPARTASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"L-aspartate
ammonium
fumarate"	L-aspartate	"ammonium
fumarate"
L-aspartate + 2-oxoglutarate ↔ oxaloacetate + L-glutamate	aspartate aminotransferase	ASPAMINOTRANS-DIMER	ASPAMINOTRANS-RXN	REVERSIBLE	"2-oxoglutarate
L-aspartate
oxaloacetate
L-glutamate"	"L-aspartate
2-oxoglutarate"	"oxaloacetate
L-glutamate"
L-aspartate + ammonium + ATP → L-asparagine + AMP + diphosphate + H+	"asparagine synthetase A
asparagine synthetase B"	"ASNSYNA-CPLX
ASNSYNB-CPLX"	ASNSYNA-RXN	PHYSIOL-LEFT-TO-RIGHT	"ATP
ammonium
L-aspartate
H+
L-asparagine
diphosphate
AMP"	"L-aspartate
ammonium
ATP"	"H+
L-asparagine
diphosphate
AMP"
L-aspartate + ATP → L-aspartyl-4-phosphate + ADP	"aspartate kinase III
fused aspartate kinase/homoserine dehydrogenase 2
fused aspartate kinase/homoserine dehydrogenase 1"	"ASPKINIII-CPLX
ASPKINIIHOMOSERDEHYDROGII-CPLX
ASPKINIHOMOSERDEHYDROGI-CPLX"	ASPARTATEKIN-RXN	LEFT-TO-RIGHT	"ATP
L-aspartate
L-aspartyl-4-phosphate
ADP"	"L-aspartate
ATP"	"L-aspartyl-4-phosphate
ADP"
L-aspartate + carbamoyl phosphate → N-carbamoyl-L-aspartate + phosphate + H+	aspartate carbamoyltransferase	ASPCARBTRANS-CPLX	ASPCARBTRANS-RXN	LEFT-TO-RIGHT	"carbamoyl phosphate
L-aspartate
H+
N-carbamoyl-L-aspartate
phosphate"	"L-aspartate
carbamoyl phosphate"	"H+
N-carbamoyl-L-aspartate
phosphate"
L-aspartate + fumarate → 2-iminosuccinate + succinate + H+	L-aspartate oxidase	L-ASPARTATE-OXID-MONOMER	RXN-9772	PHYSIOL-LEFT-TO-RIGHT	"fumarate
L-aspartate
H+
2-iminosuccinate
succinate"	"L-aspartate
fumarate"	"H+
2-iminosuccinate
succinate"
L-aspartate + H+→ β-alanine + CO2	aspartate 1-decarboxylase	CPLX0-2901	ASPDECARBOX-RXN	LEFT-TO-RIGHT	"L-aspartate
H+
β-alanine
CO2"	"H+
L-aspartate"	"β-alanine
CO2"
L-aspartate + IMP + GTP → adenylo-succinate + GDP + phosphate + 2 H+	adenylosuccinate synthetase	ADENYLOSUCCINATE-SYN-DIMER	ADENYLOSUCCINATE-SYNTHASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"GTP
IMP
L-aspartate
H+
adenylo-succinate
phosphate
GDP"	"L-aspartate
IMP
GTP"	"H+
adenylo-succinate
phosphate
GDP"
L-aspartate + L-citrulline + ATP → L-arginino-succinate + AMP + diphosphate + H+	argininosuccinate synthetase	CPLX0-238	ARGSUCCINSYN-RXN	PHYSIOL-LEFT-TO-RIGHT	"ATP
L-citrulline
L-aspartate
H+
L-arginino-succinate
diphosphate
AMP"	"L-aspartate
L-citrulline
ATP"	"H+
L-arginino-succinate
diphosphate
AMP"
L-aspartate + oxygen → hydrogen peroxide + 2-iminosuccinate + H+	L-aspartate oxidase	L-ASPARTATE-OXID-MONOMER	L-ASPARTATE-OXID-RXN	PHYSIOL-LEFT-TO-RIGHT	"L-aspartate
oxygen
H+
hydrogen peroxide
2-iminosuccinate"	"oxygen
L-aspartate"	"H+
hydrogen peroxide
2-iminosuccinate"
L-aspartate-semialdehyde + NAD(P)H + H+→ L-homoserine + NAD(P)+	"fused aspartate kinase/homoserine dehydrogenase 2
fused aspartate kinase/homoserine dehydrogenase 1"	"ASPKINIIHOMOSERDEHYDROGII-CPLX
ASPKINIHOMOSERDEHYDROGI-CPLX"	HOMOSERDEHYDROG-RXN	RIGHT-TO-LEFT	"L-homoserine
NAD(P)+
NAD(P)H
L-aspartate-semialdehyde
H+"	"NAD(P)+
L-homoserine"	"NAD(P)H
L-aspartate-semialdehyde
H+"
L-aspartate-semialdehyde + NADP++ phosphate ↔ L-aspartyl-4-phosphate + NADPH + H+	aspartate-semialdehyde dehydrogenase	ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	REVERSIBLE	"L-aspartate-semialdehyde
phosphate
NADP+
H+
NADPH
L-aspartyl-4-phosphate"	"NADP+
phosphate
L-aspartate-semialdehyde"	"H+
NADPH
L-aspartyl-4-phosphate"
L-aspartate[periplasm]→ L-aspartate[cytosol]	C4 dicarboxylate transporter DauA	YCHM-MONOMER	TRANS-RXN0-554	LEFT-TO-RIGHT	L-aspartate	L-aspartate	L-aspartate
L-aspartate[periplasm]+ 2 H+[periplasm]→ L-aspartate[cytosol]+ 2 H+[cytosol]	"glutamate/aspartate : H+symporter GltP
C4 dicarboxylate/orotate:H+symporter"	"GLTP-MONOMER
DCTA-MONOMER"	TRANS-RXN-122A	LEFT-TO-RIGHT	"H+
L-aspartate"	"H+
L-aspartate"	"H+
L-aspartate"
L-canavanine[cytosol]→ L-canavanine[periplasm]	L-arginine exporter	YGGA-MONOMER	TRANS-RXN-325	PHYSIOL-LEFT-TO-RIGHT	L-canavanine	L-canavanine	L-canavanine
L-carnitine + ATP + coenzyme A → L-carnitinyl-CoA + AMP + diphosphate	carnitine-CoA ligase	CAIC-MONOMER	LCARNCOALIG-RXN	PHYSIOL-LEFT-TO-RIGHT	"ATP
L-carnitine
coenzyme A
L-carnitinyl-CoA
AMP
diphosphate"	"coenzyme A
L-carnitine
ATP"	"L-carnitinyl-CoA
AMP
diphosphate"
L-carnitine + γ-butyrobetainyl-CoA → L-carnitinyl-CoA + γ-butyrobetaine	γ-butyrobetainyl-CoA:carnitine CoA transferase	CARNDEHYDRA-CPLX	RXN0-3601	LEFT-TO-RIGHT	"γ-butyrobetainyl-CoA
L-carnitine
L-carnitinyl-CoA
γ-butyrobetaine"	"L-carnitine
γ-butyrobetainyl-CoA"	"L-carnitinyl-CoA
γ-butyrobetaine"
L-carnitine + NAD(P)H + oxygen + H+→ L-malic semialdehyde + trimethylamine + NAD(P)++ H2O			RXN-5921	PHYSIOL-LEFT-TO-RIGHT	"H+
NAD(P)H
oxygen
L-carnitine
L-malic semialdehyde
trimethylamine
NAD(P)+
H2O"	"L-carnitine
oxygen
NAD(P)H
H+"	"L-malic semialdehyde
trimethylamine
NAD(P)+
H2O"
L-carnitinyl-CoA ↔ crotonobetainyl-CoA + H2O	crotonobetainyl-CoA hydratase	CARNRACE-MONOMER	CARNDETRU-RXN	REVERSIBLE	"L-carnitinyl-CoA
crotonobetainyl-CoA
H2O"	L-carnitinyl-CoA	"crotonobetainyl-CoA
H2O"
